"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
4.085812136E0,3.809452355E-1,1.108779240E1,-4.025647938E-1
4.102478073E0,-2.675849199E-2,1.118850994E1,-5.415449385E-3
4.119144011E0,1.177161559E-1,1.115807629E1,9.591282010E-1
4.135809948E0,2.029105872E-1,1.098991776E1,1.745492339E0
4.152475886E0,-1.068694949E0,1.156969070E1,1.381404281E0
4.169141823E0,-1.932366967E0,1.249233723E1,1.081143260E0
4.185807761E0,-1.617662311E0,1.318265820E1,1.687142968E0
4.202473698E0,-1.355206966E0,1.355375004E1,1.785617828E0
4.219139636E0,-9.892380238E-1,1.295902729E1,7.342346311E-1
4.235805573E0,-9.731447101E-1,1.159375286E1,4.447894990E-1
4.252471511E0,-1.205943346E0,1.004287529E1,1.326593280E0
4.269137448E0,-1.555675626E0,8.864356041E0,1.402043343E0
4.285803386E0,-1.466893792E0,8.125598907E0,2.040317297E0
4.302469323E0,-9.178112149E-1,7.925102711E0,3.113236189E0
4.319135261E0,-2.568216026E-1,8.046157837E0,3.700529337E0
4.335801198E0,-1.680413038E-1,8.580262184E0,4.038553238E0
4.352467136E0,-2.748434544E-1,9.030326843E0,3.513929129E0
4.369133073E0,-3.663354218E-1,9.125679970E0,1.759683609E0
4.385799011E0,-6.129382253E-1,9.056137085E0,1.300392270E0
4.402464948E0,-8.863188624E-1,8.758675575E0,2.493397951E0
4.419130886E0,-1.435368538E0,8.346991539E0,3.575278044E0
4.435796823E0,-1.706738472E0,7.721607685E0,3.689475298E0
4.452462761E0,-1.796596169E0,7.386120319E0,3.721477747E0
4.469128698E0,-1.529789329E0,7.309715271E0,3.515074730E0
4.485794636E0,-1.242134690E0,7.333435059E0,3.648010492E0
4.502460573E0,-8.998854756E-1,7.223984241E0,3.373475313E0
4.519126511E0,-6.393189430E-1,7.131328583E0,3.249626160E0
4.535792448E0,-3.006606400E-1,7.297155380E0,3.597912788E0
4.552458386E0,5.585081503E-2,7.459178925E0,4.064308167E0
4.569124323E0,1.393047422E-1,7.634440899E0,4.236585617E0
4.585790261E0,1.604106277E-1,7.773793697E0,4.356113434E0
4.602456198E0,8.828444034E-2,8.017093658E0,4.795460701E0
4.619122136E0,3.354395330E-1,8.356132507E0,5.254236221E0
4.635788073E0,5.754914284E-1,8.432973862E0,5.651424408E0
4.652454011E0,7.480973601E-1,8.307612419E0,5.252130032E0
4.669119948E0,7.097008228E-1,8.312307358E0,5.149205685E0
4.685785886E0,7.457357049E-1,8.636740685E0,5.460214615E0
4.702451823E0,9.341548085E-1,8.812716484E0,5.637830734E0
4.719117761E0,1.001838565E0,8.702228546E0,5.249572277E0
4.735783698E0,7.625624537E-1,8.851676941E0,4.646614552E0
4.752449636E0,5.275794268E-1,9.306130409E0,4.772802353E0
4.769115573E0,7.667285800E-1,9.457599640E0,5.021515369E0
4.785781511E0,5.458494425E-1,9.227526665E0,5.026907444E0
4.802447448E0,6.433197111E-2,8.881173134E0,4.938539505E0
4.819113386E0,-2.855238020E-1,9.173048973E0,4.207646847E0
4.835779323E0,-7.643091083E-1,1.041178417E1,3.610139847E0
4.852445261E0,-1.239925027E0,1.141132641E1,3.805871248E0
4.869111198E0,-1.628167748E0,1.194643688E1,3.935240507E0
4.885777136E0,-1.815409303E0,1.241460133E1,3.502043724E0
4.902443073E0,-1.771037459E0,1.271038055E1,3.384156942E0
4.919109011E0,-7.886520028E-1,1.216846180E1,4.297649384E0
4.935774948E0,-1.202965677E-1,1.049034977E1,4.199697018E0
4.952440886E0,-6.690111011E-2,8.829738617E0,1.158305287E0
4.969106823E0,-4.836149514E-2,7.505792618E0,-1.339450002E0
4.985772761E0,-3.740135729E-1,6.836920261E0,-1.065742135E0
5.002438698E0,-3.273360729E-1,6.892459869E0,7.605394721E-1
5.019104636E0,1.899708956E-1,7.696931362E0,2.572793007E0
5.035770573E0,4.499460459E-1,8.780307770E0,2.858936310E0
