"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
3.769159323E0,-1.164021343E-1,-2.821958363E-1,-1.936894655E-1
3.785825261E0,-6.252401322E-2,-3.396827579E-1,-1.870367825E-1
3.802491198E0,1.267558709E-2,-2.912828028E-1,-1.622417867E-1
3.819157136E0,1.196013615E-1,-8.258134127E-2,-1.375827789E-1
3.835823073E0,2.653942704E-1,1.828531474E-1,-1.385732293E-1
3.852489011E0,3.969755769E-1,3.237916827E-1,-1.506739557E-1
3.869154948E0,4.354615510E-1,3.127612770E-1,-1.791010797E-1
3.885820886E0,3.649826348E-1,2.650288939E-1,-2.105845213E-1
3.902486823E0,2.678783238E-1,1.969203055E-1,-2.337611616E-1
3.919152761E0,2.355860621E-1,4.193624482E-2,-2.395094931E-1
3.935818698E0,2.484544665E-1,-1.598739922E-1,-2.521540523E-1
3.952484636E0,2.504566908E-1,-3.218820393E-1,-2.805927694E-1
3.969150573E0,2.391499877E-1,-4.293278456E-1,-3.153070509E-1
3.985816511E0,2.302552760E-1,-4.708551764E-1,-3.483138978E-1
4.002482448E0,2.083883882E-1,-4.695962965E-1,-3.745520711E-1
4.019148386E0,1.522796303E-1,-4.920287430E-1,-3.908142745E-1
4.035814323E0,1.053128019E-2,-6.044088006E-1,-4.194842875E-1
4.052480261E0,-2.569155097E-1,-7.608975768E-1,-4.252502620E-1
4.069146198E0,-5.499060154E-1,-9.401713014E-1,-3.596088290E-1
4.085812136E0,-7.709550261E-1,-1.099709153E0,-2.324472964E-1
4.102478073E0,-8.899088502E-1,-1.174480200E0,-3.193119168E-2
4.119144011E0,-8.657892346E-1,-1.087541342E0,1.519525051E-1
4.135809948E0,-6.539762616E-1,-7.219273448E-1,2.592439055E-1
4.152475886E0,-4.203948677E-1,-1.812976897E-1,3.624609411E-1
4.169141823E0,-4.131847024E-1,1.461897939E-1,5.863363743E-1
4.185807761E0,-5.319988728E-1,1.996147186E-1,6.817423105E-1
4.202473698E0,-7.058854699E-1,1.445166618E-1,6.507781744E-1
4.219139636E0,-1.060699224E0,2.258611619E-1,5.507335663E-1
4.235805573E0,-1.569715619E0,5.132630467E-1,4.700842500E-1
4.252471511E0,-1.980042815E0,8.095412254E-1,4.516532123E-1
4.269137448E0,-2.261183023E0,8.735256791E-1,5.046406984E-1
4.285803386E0,-2.465524197E0,7.138075233E-1,5.529333353E-1
4.302469323E0,-2.412451267E0,5.662603378E-1,5.467082262E-1
4.319135261E0,-2.121836424E0,5.284109712E-1,4.712662399E-1
4.335801198E0,-1.684213877E0,6.481899619E-1,4.175325036E-1
4.352467136E0,-1.293346405E0,6.889965534E-1,4.397513270E-1
4.369133073E0,-1.117231250E0,7.059311271E-1,5.113784075E-1
4.385799011E0,-1.161573172E0,6.739584804E-1,6.055147052E-1
4.402464948E0,-1.237586617E0,2.403682917E-1,6.797947884E-1
4.419130886E0,-1.099250555E0,-2.489873767E-1,7.555936575E-1
4.435796823E0,-7.834210396E-1,-2.921038270E-1,8.350716829E-1
4.452462761E0,-3.969767094E-1,8.140620589E-2,8.545572758E-1
4.469128698E0,-7.459563762E-2,4.170733392E-1,7.606661916E-1
4.485794636E0,9.214777499E-2,4.072274566E-1,5.421825051E-1
4.502460573E0,1.409674585E-1,2.330389470E-1,2.696714997E-1
4.519126511E0,1.234857589E-1,2.728137374E-1,2.279186621E-2
4.535792448E0,1.069346592E-1,4.109502733E-1,-1.507222056E-1
4.552458386E0,9.539876133E-2,4.270246625E-1,-2.699254453E-1
4.569124323E0,9.950079024E-2,3.698016405E-1,-3.110621870E-1
4.585790261E0,1.291625500E-1,3.648708463E-1,-2.682746351E-1
4.602456198E0,1.849556565E-1,2.909026146E-1,-1.720937490E-1
4.619122136E0,2.219208628E-1,4.951166734E-2,-9.625596553E-2
4.635788073E0,2.694492936E-1,-1.416085958E-1,-8.974286169E-2
4.652454011E0,3.501360416E-1,-4.463759810E-2,-1.164557859E-1
