"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
3.563784862E0,4.125896990E-1,1.447906494E-1,-4.525786042E-1
3.580451528E0,9.111174941E-2,8.557987213E-2,-2.104247808E-1
3.597118194E0,-1.206111982E-1,-6.502342224E-2,-6.190216541E-2
3.613784860E0,-2.710893154E-1,-2.042942047E-1,-1.385548413E-1
3.630451526E0,-3.314654827E-1,-1.630878448E-1,-2.156636268E-1
3.647118192E0,-3.138671219E-1,-7.313537598E-2,-3.312340379E-2
3.663784858E0,-1.084613502E-1,-7.772922516E-2,2.809295058E-1
3.680451524E0,8.554695547E-2,-1.792812347E-2,5.023354292E-1
3.697118190E0,3.484809101E-1,-1.846218109E-2,6.141360998E-1
3.713784856E0,6.086556315E-1,-5.319404602E-2,4.388585687E-1
3.730451522E0,8.758457303E-1,-1.168441772E-2,1.071138829E-1
3.747118188E0,8.642489910E-1,-1.070785522E-1,2.481521219E-1
3.763784854E0,8.478772044E-1,-8.079624176E-2,2.864242792E-1
3.780451520E0,1.000704765E0,-1.089172363E-1,2.395909280E-1
3.797118186E0,8.070604801E-1,-2.144384384E-1,3.910472989E-2
3.813784852E0,6.806098223E-1,-2.133340836E-1,-5.226896703E-2
3.830451518E0,5.890790820E-1,-1.572313309E-1,1.741242409E-1
3.847118184E0,4.529643953E-1,-1.042814255E-1,4.816646576E-1
3.863784850E0,4.326283932E-1,-1.813411713E-1,6.118478179E-1
3.880451516E0,4.286997914E-1,-1.295471191E-1,4.211927056E-1
3.897118182E0,4.606984556E-1,-1.181459427E-1,3.681359887E-1
3.913784848E0,3.311485946E-1,-2.694501877E-1,8.092217445E-1
3.930451514E0,3.066835403E-1,-3.145999908E-1,1.096502900E0
3.947118180E0,3.320713341E-1,-1.854887009E-1,9.397583008E-1
3.963784846E0,4.366501570E-1,-8.159255981E-2,7.784141302E-1
3.980451512E0,5.524839163E-1,-5.653095245E-2,7.942735553E-1
3.997118178E0,7.793653011E-1,-4.945945740E-2,7.369399667E-1
4.013784844E0,9.064060450E-1,1.587867737E-3,6.779435873E-1
4.030451510E0,1.188374281E0,9.952831268E-2,4.728020728E-1
4.047118176E0,1.317617655E0,3.459434509E-1,-1.981892586E-1
4.063784842E0,1.174031258E0,1.060906410E0,-7.012369037E-1
4.080451508E0,1.138588786E0,1.218577385E0,-6.093476415E-1
4.097118174E0,7.876811028E-1,1.257730484E0,-4.567140043E-1
4.113784840E0,5.740022659E-1,1.299692154E0,-1.443380862E-1
4.130451506E0,6.722763181E-1,1.214758873E0,8.800597787E-1
4.147118172E0,4.270301163E-1,1.044697762E0,1.094621658E0
4.163784838E0,-1.531876802E0,2.107389450E0,3.875020146E-1
4.180451504E0,-1.431003571E0,2.858123779E0,5.341941714E-1
4.197118170E0,-1.350731254E0,3.446443558E0,1.040412426E0
4.213784836E0,-1.035369873E0,3.448238373E0,2.046082020E-1
4.230451502E0,-9.298851490E-1,2.576936722E0,-8.064001799E-1
4.247118168E0,-1.066002965E0,8.386325836E-1,-5.871219039E-1
4.263784834E0,-1.478818059E0,-3.433370590E-1,-2.480313778E-1
4.280451500E0,-1.661639333E0,-1.464508057E0,-7.724891901E-1
4.297118166E0,-1.590135813E0,-1.671348572E0,-1.259553432E-1
4.313784832E0,-7.986671925E-1,-1.625994205E0,5.433001518E-1
4.330451498E0,-3.910908103E-1,-1.311542511E0,4.705784321E-1
4.347118164E0,-5.895093679E-1,-4.730606079E-1,4.251027107E-1
4.363784830E0,-6.588465571E-1,-1.826944351E-1,-6.654884815E-1
4.380451496E0,-8.221498728E-1,-7.569217682E-2,-2.774859905E0
4.397118162E0,-1.112228274E0,-1.526947021E-1,-2.632522583E0
4.413784828E0,-1.644160509E0,-4.303188324E-1,-1.084368467E0
4.430451494E0,-2.218408585E0,-7.773447037E-1,-7.210268974E-1
4.447118160E0,-2.561028719E0,-1.385806084E0,-8.548386097E-1
