"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.944685630E-1,-1.871299267E0,4.707684040E0,8.472288132E0,9.871358374E0
5.968372610E-1,-1.801870346E0,4.707684040E0,8.433982849E0,9.825532681E0
5.992067920E-1,-1.749200106E0,4.710078239E0,8.383707047E0,9.774000300E0
6.015762710E-1,-1.713288546E0,4.719654560E0,8.359766006E0,9.751727257E0
6.039449690E-1,-1.639071703E0,4.745989323E0,8.374129295E0,9.764067398E0
6.063136670E-1,-1.619918823E0,4.743595600E0,8.343007088E0,9.733016155E0
6.086831990E-1,-1.579219103E0,4.736413479E0,8.314277649E0,9.698183255E0
6.110526780E-1,-1.505002022E0,4.745989323E0,8.335824966E0,9.709553214E0
6.134213240E-1,-1.454725981E0,4.724442959E0,8.335824966E0,9.691365581E0
6.157900740E-1,-1.397267699E0,4.736413479E0,8.359766006E0,9.709359266E0
6.181595530E-1,-1.370932579E0,4.762748718E0,8.345400810E0,9.706129310E0
6.205290320E-1,-1.368538380E0,4.781900883E0,8.302307129E0,9.678211457E0
6.228977300E-1,-1.394873500E0,4.803448200E0,8.319066048E0,9.706989574E0
6.252664800E-1,-1.404449940E0,4.846541882E0,8.316671371E0,9.727716615E0
6.276359590E-1,-1.485849261E0,4.836965561E0,8.333430290E0,9.749361224E0
6.300054380E-1,-1.524154902E0,4.860906601E0,8.357371330E0,9.787600150E0
6.323741360E-1,-1.540913582E0,4.887241364E0,8.378918648E0,9.821701508E0
6.347428340E-1,-1.615130663E0,4.908788681E0,8.414829254E0,9.874928088E0
6.371123650E-1,-1.631889224E0,4.887241364E0,8.412435532E0,9.864951199E0
6.394818440E-1,-1.631889224E0,4.927940845E0,8.431589127E0,9.901482647E0
6.418505420E-1,-1.658224463E0,4.935123444E0,8.438770294E0,9.915543145E0
6.442192400E-1,-1.694135904E0,4.911182404E0,8.465106010E0,9.932161337E0
6.465887710E-1,-1.694135904E0,4.913576603E0,8.477076530E0,9.943548562E0
6.489582510E-1,-1.749200106E0,4.942306042E0,8.544110298E0,1.002436586E1
6.513268960E-1,-1.775535345E0,4.942306042E0,8.649451256E0,1.011888936E1
6.536956460E-1,-1.828205585E0,4.947093964E0,8.728456497E0,1.019813842E1
6.560651260E-1,-1.885663748E0,4.992581844E0,8.812250137E0,1.030229847E1
6.584346050E-1,-1.907210827E0,4.997369766E0,8.881678581E0,1.036799750E1
6.608033030E-1,-1.947910309E0,5.057222366E0,8.900832176E0,1.042087645E1
6.631720530E-1,-2.000580549E0,5.062010765E0,8.936743736E0,1.046382646E1
6.655415320E-1,-2.038886070E0,5.085951805E0,8.943925858E0,1.048893569E1
6.679110110E-1,-2.043674231E0,5.109892368E0,8.963078499E0,1.051781254E1
6.702797090E-1,-2.012551069E0,5.126651287E0,8.979836464E0,1.053424787E1
6.726484070E-1,-2.000580549E0,5.131439686E0,8.972654343E0,1.052817751E1
6.750179380E-1,-1.952698469E0,5.143410206E0,8.948713303E0,1.050462611E1
6.773874170E-1,-1.864116669E0,5.138621807E0,8.929560661E0,1.046983374E1
6.797561150E-1,-1.765958786E0,5.124257565E0,8.900832176E0,1.042120144E1
6.821248130E-1,-1.636677504E0,5.117074966E0,8.879284859E0,1.037809564E1
6.844943440E-1,-1.528943062E0,5.105104446E0,8.829009056E0,1.031266984E1
6.868638240E-1,-1.397267699E0,5.093133926E0,8.790703773E0,1.025518615E1
6.892324690E-1,-1.306291938E0,5.064404964E0,8.745215416E0,1.018986697E1
6.916012190E-1,-1.184192896E0,5.023705006E0,8.730851173E0,1.014237088E1
6.939706990E-1,-1.078852534E0,5.009340286E0,8.678180695E0,1.007810662E1
6.963401780E-1,-1.016605854E0,4.966247082E0,8.620722771E0,1.000069791E1
6.987088760E-1,-9.591475725E-1,4.930335522E0,8.596781731E0,9.956547019E0
7.010776260E-1,-9.208420515E-1,4.937517643E0,8.527352333E0,9.896603881E0
7.034471050E-1,-8.873246908E-1,4.899211884E0,8.512988091E0,9.862078301E0
7.058165840E-1,-8.801423311E-1,4.887241364E0,8.448347092E0,9.799711590E0
7.081852820E-1,-8.514131308E-1,4.860906601E0,8.436376572E0,9.773728406E0
7.105539800E-1,-8.538073301E-1,4.808236599E0,8.400465965E0,9.716787256E0
7.129235110E-1,-8.705658913E-1,4.808236599E0,8.386100769E0,9.705859584E0
7.152929900E-1,-9.256302118E-1,4.805841923E0,8.393282890E0,9.715971673E0
7.176616880E-1,-1.002241254E0,4.832177639E0,8.417223930E0,9.757258168E0
7.200303860E-1,-1.088428855E0,4.872877121E0,8.436376572E0,9.803165737E0
7.223999170E-1,-1.224892497E0,4.901606083E0,8.479470253E0,9.870537959E0
7.247693960E-1,-1.332627058E0,4.968640804E0,8.558475494E0,9.985528985E0
7.271380420E-1,-1.497819781E0,4.992581844E0,8.651845932E0,1.010068194E1
7.295067920E-1,-1.646253943E0,5.016522884E0,8.764369011E0,1.023180424E1
7.318762710E-1,-1.744411945E0,5.066799164E0,8.838585854E0,1.033615144E1
7.342457510E-1,-1.847358227E0,5.081163406E0,8.893650055E0,1.040807212E1
7.366144490E-1,-1.955092430E0,5.069192886E0,8.958291054E0,1.047712182E1
7.389831990E-1,-2.010157108E0,5.081163406E0,8.994201660E0,1.052400193E1
7.413526780E-1,-2.031703711E0,5.059616566E0,9.020536423E0,1.054028544E1
7.437221570E-1,-2.055644751E0,5.052434444E0,9.010960579E0,1.053328912E1
7.460908550E-1,-2.031703711E0,5.033281326E0,9.008566856E0,1.051741497E1
7.484595530E-1,-1.986216068E0,5.009340286E0,8.987019539E0,1.047879118E1
7.508290840E-1,-1.916787148E0,4.963852406E0,8.955895424E0,1.041738770E1
7.531985630E-1,-1.804264545E0,4.959064484E0,8.922378540E0,1.036612415E1
7.555672090E-1,-1.674983025E0,4.932729721E0,8.864920616E0,1.028222778E1
7.579359590E-1,-1.528943062E0,4.901606083E0,8.807461739E0,1.019484141E1
7.603054380E-1,-1.390085340E0,4.872877121E0,8.738032341E0,1.010101371E1
7.626749170E-1,-1.267986298E0,4.853724003E0,8.682969093E0,1.002797977E1
7.650436150E-1,-1.121946335E0,4.832177639E0,8.649451256E0,9.971043643E0
7.674123650E-1,-9.878767729E-1,4.817812443E0,8.606357574E0,9.912447122E0
7.697818440E-1,-8.418368101E-1,4.824995041E0,8.568051338E0,9.869182848E0
7.721513240E-1,-7.676196098E-1,4.813024521E0,8.548899651E0,9.840636673E0
7.745200210E-1,-6.479146481E-1,4.832177639E0,8.498623848E0,9.797772269E0
7.768887190E-1,-5.760917664E-1,4.860906601E0,8.407648087E0,9.728763593E0
7.792582510E-1,-5.401802063E-1,4.892030239E0,8.333430290E0,9.678316740E0
7.816277300E-1,-4.899041951E-1,4.947093964E0,8.235272408E0,9.619431191E0
7.839964280E-1,-4.946923554E-1,4.961458683E0,8.137114525E0,9.543239784E0
7.863651260E-1,-5.329979658E-1,4.923152924E0,8.084444046E0,9.480493504E0
